,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keyword,volume,price,manufacturer,ingredients,foodPairing,imageURL,detailPageUrl,docId
191,191,배꽃담은 연 생막걸리,3.0,3.0,4.0,2,,0.0,,단맛 신맛 청량감      탁주 쌀,,,,,낚지 회무침 등과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804418-%EB%B0%B0%EA%BD%83%EB%8B%B4%EC%9D%80%20%EC%97%B0%20%EC%83%9D%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5804418&cid=58637&categoryId=58651,5804418
192,192,배도가 로아 19 레드,2.0,,,2,,0.0,,향기         증류주 사과,,,,,직관적으로 가볍고 부드러워 편안히 혼술하기 좋은 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598726-%EB%B0%B0%EB%8F%84%EA%B0%80%20%EB%A1%9C%EC%95%84%2019%20%EB%A0%88%EB%93%9C_main.png,https://terms.naver.com/entry.naver?docId=6598726&cid=58637&categoryId=58651,6598726
193,193,배도가로아40옐로우,2.0,,,3,40,0.0,증류주,바디감     증류주 쌀  과일류,350ml,20000,배혜정도가,"쌀,배",,,,legacy_193
194,194,백년향,3.0,3.0,2.0,3,,0.0,,단맛 신맛  바디감  담백   탁주 쌀  무감미료,,,,,"단순한 파전 및 도토리묵보다는 조개찜, 전복구이 등 담백한 요리가 더욱 이 막걸리 맛을 살려줄 것이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804501-%EB%B0%B1%EB%85%84%ED%96%A5_main.jpg,https://terms.naver.com/entry.naver?docId=5804501&cid=58637&categoryId=58651,5804501
195,195,백련 맑은술,2.0,2.0,1.0,4,,0.0,,바디감  담백   약주/청주  선물,,,,,어묵요리와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551566-%EB%B0%B1%EB%A0%A8%20%EB%A7%91%EC%9D%80%EC%88%A0_main.jpg,https://terms.naver.com/entry.naver?docId=3551566&cid=58637&categoryId=58654,3551566
196,196,백련 생막걸리 Misty,2.0,3.0,4.0,4,,0.0,,신맛 청량감 바디감  담백   탁주  선물,,,,,양념한 생선찜이 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551567-%EB%B0%B1%EB%A0%A8%20%EC%83%9D%EB%A7%89%EA%B1%B8%EB%A6%AC%20Misty_main.jpg,https://terms.naver.com/entry.naver?docId=3551567&cid=58637&categoryId=58654,3551567
197,197,백련생막걸리Snow,2.0,2.0,2.0,4,6,0.0,탁주,바디감     탁주,750ml,1600,신평양조장,"백미,연잎,정제수,종국,효모,아스파탐,물엿등",,,,legacy_197
198,198,백운 복분자 와인,2.0,2.0,1.0,5,,0.0,,바디감     기타주류 쌀 복분자  베리류,,,,,탕수육 등 중국 음식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595281-%EB%B0%B1%EC%9A%B4%20%EB%B3%B5%EB%B6%84%EC%9E%90%20%EC%99%80%EC%9D%B8_main.JPG,https://terms.naver.com/entry.naver?docId=3595281&cid=58637&categoryId=58656,3595281
199,199,백운 복분자주,3.0,2.0,2.0,4,,0.0,,단맛   바디감     기타주류 쌀 복분자  베리류,,,,,탕수육 등 중국 음식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595280-%EB%B0%B1%EC%9A%B4%20%EB%B3%B5%EB%B6%84%EC%9E%90%EC%A3%BC_main.JPG,https://terms.naver.com/entry.naver?docId=3595280&cid=58637&categoryId=58656,3595280
200,200,백이주,2.0,2.0,1.0,3,,0.0,,바디감     과실주 쌀 밀 감초  명절,,,,,"홍마늘 향이 은은하게 퍼지는 백이주는 얼큰한 김치찜, 탕과 찌개류에 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598728-%EB%B0%B1%EC%9D%B4%EC%A3%BC_main.png,https://terms.naver.com/entry.naver?docId=6598728&cid=58637&categoryId=58657,6598728
201,201,백자주,3.0,3.0,2.0,3,,0.0,,단맛 신맛  바디감     탁주 쌀 찹쌀,,,,,"골뱅이, 소라 등 무침류와 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681224-%EB%B0%B1%EC%9E%90%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681224&cid=58637&categoryId=58652,5681224
202,202,뱅꼬레 레드와인,3.0,4.0,2.0,2,,0.0,,단맛 신맛       과실주 포도,,,,,"불고기, 수육, 어복쟁반 등이 대표적이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681199-%EB%B1%85%EA%BC%AC%EB%A0%88%20%EB%A0%88%EB%93%9C%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681199&cid=58637&categoryId=58657,5681199
203,203,뱅꼬레 로제와인,4.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 포도  선물,,,,,다양한 요리가 나오는 한정식에 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681194-%EB%B1%85%EA%BC%AC%EB%A0%88%20%EB%A1%9C%EC%A0%9C%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681194&cid=58637&categoryId=58657,5681194
204,204,뱅꼬레 아이스와인,5.0,2.0,2.0,4,,0.0,,단맛   바디감     과실주 포도,,,,,와인 맛 본연의 맛을 느끼기 위해 가벼운 샐러드와의 매칭을 추천한다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681192-%EB%B1%85%EA%BC%AC%EB%A0%88%20%EC%95%84%EC%9D%B4%EC%8A%A4%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681192&cid=58637&categoryId=58657,5681192
205,205,뱅꼬레 화이트와인,4.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 포도  저도수,,,,,"가벼운 샐러드, 카르파쵸, 가벼운 튀김류와도 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681195-%EB%B1%85%EA%BC%AC%EB%A0%88%20%ED%99%94%EC%9D%B4%ED%8A%B8%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681195&cid=58637&categoryId=58657,5681195
206,206,베베마루 캠벨로제,3.0,1.0,1.0,3,,0.0,,단맛   바디감     과실주 포도,,,,,케이크 등 디저트 음식과 함께하면 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595307-%EB%B2%A0%EB%B2%A0%EB%A7%88%EB%A3%A8%20%EC%BA%A0%EB%B2%A8%EB%A1%9C%EC%A0%9C_main.JPG,https://terms.naver.com/entry.naver?docId=3595307&cid=58637&categoryId=58653,3595307
207,207,베베마루 캠벨로제 스위트,2.0,2.0,1.0,3,,0.0,,바디감     과실주 포도  저도수,,,,,와인에 재워 놓았던 붉은 고기와 함께하면 맛있게 즐길 수 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595308-%EB%B2%A0%EB%B2%A0%EB%A7%88%EB%A3%A8%20%EC%BA%A0%EB%B2%A8%EB%A1%9C%EC%A0%9C%20%EC%8A%A4%EC%9C%84%ED%8A%B8_main.JPG,https://terms.naver.com/entry.naver?docId=3595308&cid=58637&categoryId=58653,3595308
208,208,별바랑,4.0,2.0,2.0,4,,0.0,,단맛   바디감  담백   약주/청주 쌀 찹쌀  파티,,,,,불고기가 생각나는 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040790-%EB%B3%84%EB%B0%94%EB%9E%91_main.jpg,https://terms.naver.com/entry.naver?docId=6040790&cid=58637&categoryId=58657,6040790
209,209,병영설성 동동주,2.0,2.0,3.0,2,,0.0,,청량감      탁주 쌀  무감미료,,,,,"묵은 김치 볶음, 담치국, 두부김치와 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804472-%EB%B3%91%EC%98%81%EC%84%A4%EC%84%B1%20%EB%8F%99%EB%8F%99%EC%A3%BC_main.png,https://terms.naver.com/entry.naver?docId=5804472&cid=58637&categoryId=58656,5804472
210,210,병영설성 생막걸리,3.0,2.0,2.0,2,,0.0,,단맛        탁주 쌀  무감미료,,,,,약간 떫은 맛도 가지고 있는데 새우 간장 절임이나 남도 한정식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804473-%EB%B3%91%EC%98%81%EC%84%A4%EC%84%B1%20%EC%83%9D%EB%A7%89%EA%B1%B8%EB%A6%AC_main.png,https://terms.naver.com/entry.naver?docId=5804473&cid=58637&categoryId=58656,5804473
211,211,병영설성사또,,,,3,,0.0,,향기    바디감 목넘김    증류주 쌀  베리류,,,,,진한 국물이 있는 전골류와 아주 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804481-%EB%B3%91%EC%98%81%EC%84%A4%EC%84%B1%EC%82%AC%EB%98%90_main.jpg,https://terms.naver.com/entry.naver?docId=5804481&cid=58637&categoryId=58656,5804481
212,212,병영소주,3.0,0.0,3.0,4,,0.0,,단맛  청량감 바디감     증류주 보리,,,,,명란젓과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551510-%EB%B3%91%EC%98%81%EC%86%8C%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=3551510&cid=58637&categoryId=58656,3551510
213,213,복분자 아락,2.0,,,3,,0.0,,향기    바디감     증류주 복분자,,,,,견과류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595275-%EB%B3%B5%EB%B6%84%EC%9E%90%20%EC%95%84%EB%9D%BD_main.jpg,https://terms.naver.com/entry.naver?docId=3595275&cid=58637&categoryId=58655,3595275
214,214,복분자음,2.0,2.0,1.0,3,,0.0,,바디감     과실주 복분자  홈술,,,,,,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5687153-%EB%B3%B5%EB%B6%84%EC%9E%90%EC%9D%8C_main.jpg,https://terms.naver.com/entry.naver?docId=5687153&cid=58637&categoryId=58655,5687153
215,215,복순도가 손 막걸리,2.0,3.0,5.0,4,,1.0,,신맛 청량감 바디감    탄산 탁주  파티,,,,,생선 조림과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551540-%EB%B3%B5%EC%88%9C%EB%8F%84%EA%B0%80%20%EC%86%90%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3551540&cid=58637&categoryId=58650,3551540
216,216,볼빨간막걸리 10,1.0,5.0,4.0,4,,0.0,,신맛 청량감 바디감     탁주 쌀 찹쌀  홈술,,,,,야채와 함께 곁들인 양지수육무침과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040758-%EB%B3%BC%EB%B9%A8%EA%B0%84%EB%A7%89%EA%B1%B8%EB%A6%AC%2010_main.jpg,https://terms.naver.com/entry.naver?docId=6040758&cid=58637&categoryId=58645,6040758
217,217,볼빨간막걸리 7,1.0,4.0,3.0,2,,0.0,,신맛 청량감      탁주 쌀 찹쌀  홈술,,,,,오징어 무침과 잘 어울리다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040759-%EB%B3%BC%EB%B9%A8%EA%B0%84%EB%A7%89%EA%B1%B8%EB%A6%AC%207_main.jpg,https://terms.naver.com/entry.naver?docId=6040759&cid=58637&categoryId=58645,6040759
218,218,봉하쌀 생막걸리,1.0,2.0,3.0,2,,0.0,,청량감      탁주 쌀,,,,,홍어무침 한접시에 날 새는지 모른다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6036283-%EB%B4%89%ED%95%98%EC%8C%80%20%EC%83%9D%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=6036283&cid=58637&categoryId=58656,6036283
219,219,부안 참뽕 막걸리,2.0,1.0,3.0,3,,0.0,,청량감 바디감     탁주 쌀 오디,,,,,장어 구이 등과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595257-%EB%B6%80%EC%95%88%20%EC%B0%B8%EB%BD%95%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595257&cid=58637&categoryId=58655,3595257
220,220,부안 참뽕 와인,3.0,2.0,1.0,4,,0.0,,단맛   바디감   탄닌감  과실주 오디  선물,,,,,치즈류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595258-%EB%B6%80%EC%95%88%20%EC%B0%B8%EB%BD%95%20%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=3595258&cid=58637&categoryId=58655,3595258
221,221,부자10,4.0,1.0,1.0,2,10,0.0,탁주,단맛     담백   탁주 쌀  무감미료,375ml,5000,배혜정도가,"쌀,정제수,고과당,효모등",,,,legacy_221
222,222,불소곡주,2.0,,,4,,0.0,,향기    바디감     기타주류 쌀 찹쌀 생강  고문헌,,,,,전골류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595214-%EB%B6%88%EC%86%8C%EA%B3%A1%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=3595214&cid=58637&categoryId=58654,3595214
223,223,붉은 원숭이,4.0,2.0,2.0,4,,0.0,,단맛   바디감  담백   탁주 쌀  이색전통주,,,,,불에 훈연된 바비큐와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551495-%EB%B6%89%EC%9D%80%20%EC%9B%90%EC%88%AD%EC%9D%B4_main.jpg,https://terms.naver.com/entry.naver?docId=3551495&cid=58637&categoryId=58651,3551495
224,224,블루베리 이야기,3.0,1.0,1.0,3,,0.0,,단맛   바디감     과실주 머루 베리,,,,,숯불구이와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595285-%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC%20%EC%9D%B4%EC%95%BC%EA%B8%B0_main.JPG,https://terms.naver.com/entry.naver?docId=3595285&cid=58637&categoryId=58655,3595285
225,225,산내울 복분자주,4.0,4.0,3.0,3,,0.0,,단맛 신맛 청량감 바디감     기타주류 복분자  베리류,,,,,"단맛이 많지만, 식전주나 식후주보다는 식중주가 어울리는 술이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040742-%EC%82%B0%EB%82%B4%EC%9A%B8%20%EB%B3%B5%EB%B6%84%EC%9E%90%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040742&cid=58637&categoryId=58658,6040742
226,226,산내울 사과애주,4.0,4.0,3.0,2,,0.0,,단맛 신맛 청량감      기타주류 사과  과일류,,,,,여름에 얼음과 탄산수를 넣고 마시면 더할 나위 없이 시원한 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040751-%EC%82%B0%EB%82%B4%EC%9A%B8%20%EC%82%AC%EA%B3%BC%EC%95%A0%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040751&cid=58637&categoryId=58658,6040751
227,227,산내울 오미자주,2.0,3.0,3.0,2,,0.0,,신맛 청량감      기타주류 오미자  선물,,,,,여름에 얼음과 탄산수를 넣고 마시면 더할 나위 없이 시원한 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040743-%EC%82%B0%EB%82%B4%EC%9A%B8%20%EC%98%A4%EB%AF%B8%EC%9E%90%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040743&cid=58637&categoryId=58658,6040743
228,228,산막대덕주,3.0,1.0,1.0,2,,0.0,,단맛        약주/청주 쌀 밀,,,,,화전과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595294-%EC%82%B0%EB%A7%89%EB%8C%80%EB%8D%95%EC%A3%BC_main.JPG,https://terms.naver.com/entry.naver?docId=3595294&cid=58637&categoryId=58648,3595294
229,229,산막 생유 막걸리,1.0,3.0,3.0,4,,0.0,,신맛 청량감 바디감     탁주 쌀  탄산,,,,,닭갈비 등 양념된 고기와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595296-%EC%82%B0%EB%A7%89%20%EC%83%9D%EC%9C%A0%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.JPG,https://terms.naver.com/entry.naver?docId=3595296&cid=58637&categoryId=58648,3595296
230,230,삼선,1.0,4.0,2.0,2,,0.0,,신맛       탁주 쌀  홈술,,,,,녹두전과 잘 맞는 궁합이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804499-%EC%82%BC%EC%84%A0_main.jpg,https://terms.naver.com/entry.naver?docId=5804499&cid=58637&categoryId=58652,5804499
231,231,삼양춘 생약주,2.0,1.0,1.0,2,,0.0,,담백   약주/청주 쌀  선물,,,,,양념 되지 않은 흰살 생선 찜과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681233-%EC%82%BC%EC%96%91%EC%B6%98%20%EC%83%9D%EC%95%BD%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681233&cid=58637&categoryId=58646,5681233
232,232,삼양춘 생탁주,2.0,1.0,1.0,4,,0.0,,바디감  담백   탁주 쌀  무감미료,,,,,일반 막걸리에 비해 알코올 도수가 높아 술이 가볍지 않고 묵직하며 술을 마시고 난 후에는 옅은 쓴맛이 양념된 낙지나 주꾸미 볶음류와 매우 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681234-%EC%82%BC%EC%96%91%EC%B6%98%20%EC%83%9D%ED%83%81%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681234&cid=58637&categoryId=58646,5681234
233,233,삼양춘 청주,3.0,4.0,2.0,3,,0.0,,단맛 신맛  바디감  담백   약주/청주 쌀  선물,,,,,양념 되지 않은 흰살 생선 찜과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040730-%EC%82%BC%EC%96%91%EC%B6%98%20%EC%B2%AD%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040730&cid=58637&categoryId=58646,6040730
234,234,샤토미소 랑,4.0,3.0,2.0,2,,0.0,,단맛 신맛       과실주 포도  홈술,,,,,시트러스한 식감이 워낙 좋아 조개찜 등 다양한 해산물과 잘 어울리는 스타일이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804464-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EB%9E%91_main.jpg,https://terms.naver.com/entry.naver?docId=5804464&cid=58637&categoryId=58653,5804464
235,235,샤토미소 레드 프리미엄 드라이,2.0,3.0,2.0,3,,0.0,,신맛  바디감     과실주 포도,,,,,다만 탄닌감은 적어서 기름진 스테이크 및 육류보다는 더덕구이나 버섯구이 등 좋은 향을 가진 음식을 추천한다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804463-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EB%A0%88%EB%93%9C%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%EB%93%9C%EB%9D%BC%EC%9D%B4_main.jpg,https://terms.naver.com/entry.naver?docId=5804463&cid=58637&categoryId=58653,5804463
236,236,샤토미소 스위트,3.0,1.0,,3,,0.0,,단맛   바디감 목넘김    과실주 포도,,,,,특별한 날 케익과 함께하면 좋다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551520-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EC%8A%A4%EC%9C%84%ED%8A%B8_main.jpg,https://terms.naver.com/entry.naver?docId=3551520&cid=58637&categoryId=58653,3551520
237,237,샤토미소스위트로제,3.0,1.0,,2,12,0.0,과실주,단맛    목넘김  탄닌감  과실주 포도  파티,375ml,20000,도란원,"포도,산화방지제,효모,설탕등",,,,legacy_237
238,238,샤토미소 영동,,,,4,,0.0,,향기    바디감     증류주 포도  과일류,,,,,기름진 메로구이 등이 생각나는 맛이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804462-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EC%98%81%EB%8F%99_main.jpg,https://terms.naver.com/entry.naver?docId=5804462&cid=58637&categoryId=58653,5804462
239,239,샹스프랑보아즈,4.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 복분자  파티,,,,,담백한 모짜렐라치즈 등과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804421-%EC%83%B9%EC%8A%A4%ED%94%84%EB%9E%91%EB%B3%B4%EC%95%84%EC%A6%88_main.jpg,https://terms.naver.com/entry.naver?docId=5804421&cid=58637&categoryId=58655,5804421
240,240,서울의 밤,,,,2,,0.0,,향기         기타주류 꿀  홈술,,,,,삼겹살과 아주 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681154-%EC%84%9C%EC%9A%B8%EC%9D%98%20%EB%B0%A4_main.jpg,https://terms.naver.com/entry.naver?docId=5681154&cid=58637&categoryId=58644,5681154
241,241,서주 16%,3.0,2.0,3.0,3,,0.0,,단맛  청량감 바디감     약주/청주 감자  선물,,,,,기름진 감자전하고 즐기면 딱 좋은 맛이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804434-%EC%84%9C%EC%A3%BC%2016_main.jpg,https://terms.naver.com/entry.naver?docId=5804434&cid=58637&categoryId=58652,5804434
242,242,석로주,1.0,1.0,1.0,4,,0.0,,바디감     약주/청주 쌀 버섯  선물,,,,,버섯 전골 등 전골류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681223-%EC%84%9D%EB%A1%9C%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681223&cid=58637&categoryId=58648,5681223
243,243,석탄주 약주,1.0,3.0,2.0,3,,0.0,,신맛  바디감     약주/청주 쌀 찹쌀  명절,,,,,"고기류라면 기름기가 적은 수육, 생선이라면 맛을 최대한 이끌어 내기 위해 참치 뱃살 등이 잘 어울릴 듯하다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804431-%EC%84%9D%ED%83%84%EC%A3%BC%20%EC%95%BD%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5804431&cid=58637&categoryId=58655,5804431
244,244,석탄주 탁주,2.0,3.0,3.0,4,,0.0,,신맛 청량감 바디감     탁주 쌀 찹쌀  고문헌,,,,,"과실향이 좋아 식중주보다는 식전주로 어울리며, 술의 향을 방해하지 않는 가벼운 샐러드 등이 잘 어울릴 듯하다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804417-%EC%84%9D%ED%83%84%EC%A3%BC%20%ED%83%81%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5804417&cid=58637&categoryId=58655,5804417
245,245,선운산 복분자와인,4.0,4.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 복분자  소용량,,,,,조금 맛이 진한 불고기 등의 고기류와 복분자에 가장 잘 어울리는 장어구이와 함께 마시면 좋은 궁합이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804423-%EC%84%A0%EC%9A%B4%EC%82%B0%20%EB%B3%B5%EB%B6%84%EC%9E%90%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5804423&cid=58637&categoryId=58655,5804423
246,246,선운산 복분자주,4.0,4.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 복분자  홈술,,,,,다재다능한 식중주다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804424-%EC%84%A0%EC%9A%B4%EC%82%B0%20%EB%B3%B5%EB%B6%84%EC%9E%90%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5804424&cid=58637&categoryId=58655,5804424
247,247,선운산 복분자주 프리미엄,4.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감      과실주 복분자  진한맛,,,,,담백한 한우 수육을 곁들인다면 더욱 그 차이를 알 수 있을 것이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804422-%EC%84%A0%EC%9A%B4%EC%82%B0%20%EB%B3%B5%EB%B6%84%EC%9E%90%EC%A3%BC%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84_main.jpg,https://terms.naver.com/entry.naver?docId=5804422&cid=58637&categoryId=58655,5804422
248,248,선운산의 아침 복분자막걸리,2.0,2.0,1.0,4,,0.0,,바디감     탁주 쌀 복분자,,,,,양념을 강하게 하지 않은 생선찜과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595227-%EC%84%A0%EC%9A%B4%EC%82%B0%EC%9D%98%20%EC%95%84%EC%B9%A8%20%EB%B3%B5%EB%B6%84%EC%9E%90%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595227&cid=58637&categoryId=58655,3595227
249,249,선호 생막걸리,2.0,3.0,3.0,3,,1.0,,신맛 청량감 바디감  담백  탄산 탁주 쌀,,,,,"닭도리탕, 감자탕 등도 추천 메뉴다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681217-%EC%84%A0%ED%98%B8%20%EC%83%9D%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5681217&cid=58637&categoryId=58651,5681217
250,250,설궁,2.0,,,2,,0.0,,기타주류 꿀 삼 버섯  겨울,,,,,조개구이와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595288-%EC%84%A4%EA%B6%81_main.JPG,https://terms.naver.com/entry.naver?docId=3595288&cid=58637&categoryId=58652,3595288
251,251,설레온,2.0,,,3,,0.0,,바디감     증류주 쌀,,,,,한우 구이가 제격이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595247-%EC%84%A4%EB%A0%88%EC%98%A8_main.jpg,https://terms.naver.com/entry.naver?docId=3595247&cid=58637&categoryId=58654,3595247
252,252,설련주,2.0,4.0,2.0,3,,0.0,,신맛  바디감     약주/청주 쌀 찹쌀  선물,,,,,연잎이 들어간 만큼 연잎밥과도 좋은 매칭이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040753-%EC%84%A4%EB%A0%A8%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=6040753&cid=58637&categoryId=58657,6040753
253,253,설성 만월 막걸리,2.0,3.0,2.0,3,,0.0,,신맛  바디감     탁주 쌀,,,,,새우 간장 절임과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551541-%EC%84%A4%EC%84%B1%20%EB%A7%8C%EC%9B%94%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3551541&cid=58637&categoryId=58656,3551541
254,254,설하담,3.0,1.0,4.0,2,,1.0,,단맛  청량감     탄산 탁주 쌀  홈술,,,,,양념된 돼지고기와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804514-%EC%84%A4%ED%95%98%EB%8B%B4_main.jpg,https://terms.naver.com/entry.naver?docId=5804514&cid=58637&categoryId=58645,5804514
